Start the test ...
Run test script from:  1000  to:  10001  step: 20
CPU threshold =  60
Memory thresold =  60
{'threads': 1480, 'errors': 0, 'overloads': 456, 'max': 1846.537, 'min': 0.8099999999999999, 'avg': 706.8597189189189, 'cpu_count': 2, 'cpu_percent': 100.0, 'memory_percent': 11.2, 'disk_io_read': 301217, 'disk_io_write': 16926931}
{'threads': 1500, 'errors': 0, 'overloads': 162, 'max': 1924.875, 'min': 0.612, 'avg': 712.9180666666667, 'cpu_count': 2, 'cpu_percent': 66.7, 'memory_percent': 9.8, 'disk_io_read': 301217, 'disk_io_write': 16926937}
{'threads': 1520, 'errors': 0, 'overloads': 290, 'max': 1888.0349999999999, 'min': 0.68, 'avg': 724.9929368421052, 'cpu_count': 2, 'cpu_percent': 68.5, 'memory_percent': 9.8, 'disk_io_read': 301217, 'disk_io_write': 16926939}
{'threads': 1540, 'errors': 0, 'overloads': 241, 'max': 2130.148, 'min': 0.625, 'avg': 832.7527818181818, 'cpu_count': 2, 'cpu_percent': 68.4, 'memory_percent': 9.9, 'disk_io_read': 301217, 'disk_io_write': 16926939}
{'threads': 1560, 'errors': 0, 'overloads': 231, 'max': 2078.4660000000003, 'min': 0.647, 'avg': 816.1111256410256, 'cpu_count': 2, 'cpu_percent': 71.2, 'memory_percent': 9.9, 'disk_io_read': 301217, 'disk_io_write': 16926941}
{'threads': 1580, 'errors': 0, 'overloads': 319, 'max': 2355.973, 'min': 0.641, 'avg': 891.8445367088608, 'cpu_count': 2, 'cpu_percent': 71.3, 'memory_percent': 9.9, 'disk_io_read': 301217, 'disk_io_write': 21552671}
{'threads': 1600, 'errors': 0, 'overloads': 245, 'max': 2108.968, 'min': 0.666, 'avg': 826.4303418750001, 'cpu_count': 2, 'cpu_percent': 67.2, 'memory_percent': 9.9, 'disk_io_read': 301217, 'disk_io_write': 21552675}
{'threads': 1620, 'errors': 0, 'overloads': 269, 'max': 1923.0739999999998, 'min': 0.628, 'avg': 799.7873148148147, 'cpu_count': 2, 'cpu_percent': 68.8, 'memory_percent': 9.9, 'disk_io_read': 301217, 'disk_io_write': 21552677}
{'threads': 1640, 'errors': 0, 'overloads': 240, 'max': 2232.995, 'min': 0.62, 'avg': 842.535831707317, 'cpu_count': 2, 'cpu_percent': 69.6, 'memory_percent': 9.9, 'disk_io_read': 301217, 'disk_io_write': 21552679}
{'threads': 1660, 'errors': 0, 'overloads': 149, 'max': 2198.766, 'min': 0.842, 'avg': 969.4534024096386, 'cpu_count': 2, 'cpu_percent': 68.9, 'memory_percent': 10.0, 'disk_io_read': 301217, 'disk_io_write': 21552698}
{'threads': 1680, 'errors': 0, 'overloads': 210, 'max': 2318.6659999999997, 'min': 0.74, 'avg': 1024.3449083333333, 'cpu_count': 2, 'cpu_percent': 70.8, 'memory_percent': 10.0, 'disk_io_read': 301217, 'disk_io_write': 21552701}
{'threads': 1700, 'errors': 0, 'overloads': 225, 'max': 2331.9049999999997, 'min': 0.82, 'avg': 1043.5742494117646, 'cpu_count': 2, 'cpu_percent': 72.1, 'memory_percent': 10.0, 'disk_io_read': 301217, 'disk_io_write': 21552701}
{'threads': 1720, 'errors': 0, 'overloads': 270, 'max': 2177.129, 'min': 0.619, 'avg': 915.4581668604651, 'cpu_count': 2, 'cpu_percent': 72.2, 'memory_percent': 10.0, 'disk_io_read': 301217, 'disk_io_write': 21552705}
{'threads': 1740, 'errors': 0, 'overloads': 250, 'max': 2091.449, 'min': 0.622, 'avg': 795.033648275862, 'cpu_count': 2, 'cpu_percent': 68.5, 'memory_percent': 10.0, 'disk_io_read': 301217, 'disk_io_write': 21552707}
{'threads': 1760, 'errors': 0, 'overloads': 234, 'max': 2178.6150000000002, 'min': 0.771, 'avg': 985.3233784090908, 'cpu_count': 2, 'cpu_percent': 69.7, 'memory_percent': 10.1, 'disk_io_read': 301217, 'disk_io_write': 21552707}
{'threads': 1780, 'errors': 0, 'overloads': 212, 'max': 2321.89, 'min': 0.83, 'avg': 987.9272230337078, 'cpu_count': 2, 'cpu_percent': 69.5, 'memory_percent': 10.1, 'disk_io_read': 301217, 'disk_io_write': 28384008}
{'threads': 1800, 'errors': 0, 'overloads': 267, 'max': 2104.252, 'min': 0.64, 'avg': 856.6128483333332, 'cpu_count': 2, 'cpu_percent': 69.3, 'memory_percent': 10.0, 'disk_io_read': 301217, 'disk_io_write': 28384008}
{'threads': 1820, 'errors': 0, 'overloads': 296, 'max': 2374.864, 'min': 0.636, 'avg': 958.722314835165, 'cpu_count': 2, 'cpu_percent': 73.5, 'memory_percent': 10.0, 'disk_io_read': 301217, 'disk_io_write': 28384010}
{'threads': 1840, 'errors': 0, 'overloads': 349, 'max': 2301.0660000000003, 'min': 0.629, 'avg': 935.2431858695651, 'cpu_count': 2, 'cpu_percent': 72.3, 'memory_percent': 10.1, 'disk_io_read': 301217, 'disk_io_write': 34935243}
