threads,errors,overloads,max,min,avg,cpu_count,cpu_percent,memory_percent,disk_io_read,disk_io_write
31000,0,9075,17421.636,0.68,2163.651492967742,2,96.9,13.4,48679210,824681186
31500,0,9037,15122.735,0.674,1978.4043549206351,2,97.0,13.4,48679212,837778667
32000,0,9333,15791.582,0.68,2197.188290875,2,95.3,13.7,48679212,873682752
32500,0,9628,15376.001,0.612,1914.6157473230767,2,100.0,16.5,48679212,903972453
33000,0,9928,9661.733,0.607,1433.7497562424242,2,100.0,17.8,48679212,920749540
33500,0,9982,15193.403999999999,0.656,2423.8231973731345,2,98.1,15.8,48679213,926509240
34000,0,9856,22289.494000000002,0.673,2612.190510529412,2,99.9,13.9,48679213,937025729
34500,0,10190,16501.204,0.6629999999999999,1680.7575584057972,2,95.4,13.4,48679213,951588866
35000,0,10231,18098.332,0.67,2178.6068960285716,2,96.9,13.9,48679213,973854369
35500,0,10141,15456.262,0.665,1868.2870919436623,2,96.9,13.6,48679213,1000268433
36000,0,10593,16857.253,0.6769999999999999,1980.0899415277777,2,96.6,14.4,48679213,1041585183
36500,0,10780,161244.813,0.656,6525.203888027398,2,99.9,16.0,48679213,1063145551
37000,0,11126,229513.356,0.631,4569.175594216216,2,100.0,16.7,48679216,1063789081
37500,0,11093,11258.292000000001,0.65,1213.2992543999999,2,96.0,16.4,48679216,1063869731
38000,0,11183,18596.516,0.6819999999999999,1917.7361911842106,2,99.4,13.7,48679217,1064514451
38500,0,11375,19664.618000000002,0.6819999999999999,2226.7581696103894,2,95.9,13.8,48679217,1076202847
39000,0,11458,19534.029,0.666,2197.6912577179487,2,95.0,14.1,48679217,1107515490
39500,0,11783,15841.18,0.6759999999999999,1719.4301401518987,2,94.9,13.5,48679217,1133576383
40000,0,11811,18057.458,0.626,2053.664893075,2,99.1,16.0,48679217,1165320970
40500,0,11925,12856.806,0.634,1948.1335315555555,2,100.0,18.7,48679217,1207346318
41000,0,12080,18256.173,0.683,1757.3687536097561,2,95.4,13.9,48679219,1222727694
41500,0,12339,26015.52,0.675,2397.020395518072,2,99.8,14.3,48679219,1247681384
42000,0,12141,16823.034,0.6759999999999999,1646.8961468809523,2,94.3,13.9,48679219,1271114317
42500,0,12605,16039.518000000002,0.631,1694.8472213647058,2,99.0,15.1,48679220,1292296606
43000,0,12730,191298.489,0.63,5057.3189166976745,2,100.0,18.5,48679222,1320419155
43500,0,12504,20892.281,0.6679999999999999,1759.9172952873562,2,96.0,14.2,48679222,1339051306
44000,0,12910,17635.649,0.678,1545.23035225,2,95.8,14.1,48679222,1360339450
44500,0,13004,18571.551,0.669,2018.6037253707868,2,95.7,14.1,48679222,1398442019
45000,0,13495,16558.463,0.621,1758.7017282444444,2,99.0,16.9,48679223,1407308385
45500,0,13716,9705.599,0.635,1441.2122567912088,2,99.2,18.0,48679223,1440657437
46000,0,13555,13976.301,0.674,1757.3594802391303,2,95.4,14.3,48679223,1458031625
46500,0,14062,18566.562,0.6769999999999999,1699.3366627311827,2,95.2,14.5,48679223,1487098003
47000,0,13959,15267.051,0.666,1387.297769680851,2,95.9,14.0,48679223,1495864479
47500,0,13711,13289.815,0.636,1482.2893854736842,2,99.0,19.6,48679228,1520022378
48000,0,14282,116473.049,0.626,7822.665275833334,2,99.6,19.6,48679229,1533198413
48500,0,14501,314698.749,0.634,8135.418496,2,100.0,22.0,48679231,1543344357
